nb_shards,nb_requests,accuracy,retraining_time
5,0,0.5169978491862219,0
5,1,0.5169015440916824,28.74934244155884
5,2,0.5169657474880421,58.19922733306885
5,3,0.517190459375301,58.39417123794556
5,4,0.5170941542807614,114.89108896255493
5,5,0.5174472729607397,56.00285887718201
5,6,0.5169336457898622,114.74297165870667
5,7,0.5091008314339829,116.87627983093262
5,8,0.50964656030304,114.9772117137909
5,9,0.5091650348303425,113.00596761703491
5,10,0.5091971365285224,114.73244071006775
5,11,0.5093897467176014,112.1988697052002
5,12,0.5091971365285224,142.2582244873047
5,13,0.5091329331321627,142.9658088684082
5,14,0.5095823569066804,142.65946412086487
5,15,0.5093897467176014,141.521728515625
